"sampleID" "treat" "mouse" "tissue" "lineage" "celltype" "PCRrep" "time"
"124" "EW202B.M6.S.TER.PCR1" "IF" "M6" "S" "Myeloid" "TER" "PCR1" "week4"
"125" "EW202B.M6.S.TER.PCR2" "IF" "M6" "S" "Myeloid" "TER" "PCR2" "week4"
"126" "EW202B.M6.T.CD3negDP.PCR1" "IF" "M6" "T" "Tcell" "CD3negDP" "PCR1" "week4"
"127" "EW202B.M6.T.CD3negDP.PCR2" "IF" "M6" "T" "Tcell" "CD3negDP" "PCR2" "week4"
"128" "EW202B.M6.T.CD3posDP.PCR1" "IF" "M6" "T" "Tcell" "CD3posDP" "PCR1" "week4"
"129" "EW202B.M6.T.CD3posDP.PCR2" "IF" "M6" "T" "Tcell" "CD3posDP" "PCR2" "week4"
"130" "EW202B.M6.T.DN.PCR1" "IF" "M6" "T" "Tcell" "DN" "PCR1" "week4"
"131" "EW202B.M6.T.DN.PCR2" "IF" "M6" "T" "Tcell" "DN" "PCR2" "week4"
"132" "EW202B.M6.T.GD.PCR1" "IF" "M6" "T" "Tcell" "GD" "PCR1" "week4"
"133" "EW202B.M6.T.SP.PCR1" "IF" "M6" "T" "Tcell" "SP" "PCR1" "week4"
"134" "EW202B.M6.T.SP.PCR2" "IF" "M6" "T" "Tcell" "SP" "PCR2" "week4"
"135" "EW202B.T0.invitro.cells.PCR1" "T0" "T0" "T0" "T0" "T0" "PCR1" "T0"
"136" "EW202B.T0.invitro.cells.PCR2" "T0" "T0" "T0" "T0" "T0" "PCR2" "T0"
"137" "EW202.M15.BM.CD19.PCR1" "IV" "M15" "BM" "Bcell" "CD19" "PCR1" "week8"
"138" "EW202.M15.BM.CD19.PCR2" "IV" "M15" "BM" "Bcell" "CD19" "PCR2" "week8"
"139" "EW202.M15.BM.GR11b.PCR1" "IV" "M15" "BM" "Myeloid" "GR11b" "PCR1" "week8"
"140" "EW202.M15.BM.GR11b.PCR2" "IV" "M15" "BM" "Myeloid" "GR11b" "PCR2" "week8"
"141" "EW202.M15.BM.LINneg.PCR1" "IV" "M15" "BM" "immature" "LINneg" "PCR1" "week8"
"142" "EW202.M15.BM.TER.PCR1" "IV" "M15" "BM" "Myeloid" "TER" "PCR1" "week8"
"143" "EW202.M15.BM.TER.PCR2" "IV" "M15" "BM" "Myeloid" "TER" "PCR2" "week8"
"144" "EW202.M15.S.CD19.PCR1" "IV" "M15" "S" "Bcell" "CD19" "PCR1" "week8"
"145" "EW202.M15.S.CD19.PCR2" "IV" "M15" "S" "Bcell" "CD19" "PCR2" "week8"
"146" "EW202.M15.S.CD3.PCR1" "IV" "M15" "S" "Tcell" "CD3" "PCR1" "week8"
"147" "EW202.M15.S.CD3.PCR2" "IV" "M15" "S" "Tcell" "CD3" "PCR2" "week8"
"148" "EW202.M15.S.GR11b.PCR1" "IV" "M15" "S" "Myeloid" "GR11b" "PCR1" "week8"
"149" "EW202.M15.S.GR11b.PCR2" "IV" "M15" "S" "Myeloid" "GR11b" "PCR2" "week8"
"150" "EW202.M15.S.TER.PCR1" "IV" "M15" "S" "Myeloid" "TER" "PCR1" "week8"
"151" "EW202.M15.S.TER.PCR2" "IV" "M15" "S" "Myeloid" "TER" "PCR2" "week8"
"152" "EW202.M15.T.DN.PCR1" "IV" "M15" "T" "Tcell" "DN" "PCR1" "week8"
"153" "EW202.M15.T.DN.PCR2" "IV" "M15" "T" "Tcell" "DN" "PCR2" "week8"
"154" "EW202.M15.T.DPCD3neg.PCR1" "IV" "M15" "T" "Tcell" "CD3negDP" "PCR1" "week8"
"155" "EW202.M15.T.DPCD3neg.PCR2" "IV" "M15" "T" "Tcell" "CD3negDP" "PCR2" "week8"
"156" "EW202.M15.T.DPCD3pos.PCR1" "IV" "M15" "T" "Tcell" "CD3posDP" "PCR1" "week8"
"157" "EW202.M15.T.DPCD3pos.PCR2" "IV" "M15" "T" "Tcell" "CD3posDP" "PCR2" "week8"
"158" "EW202.M15.T.SP.PCR1" "IV" "M15" "T" "Tcell" "SP" "PCR1" "week8"
"159" "EW202.M15.T.SP.PCR2" "IV" "M15" "T" "Tcell" "SP" "PCR2" "week8"
"160" "EW202.M16.BM.CD19.PCR1" "IV" "M16" "BM" "Bcell" "CD19" "PCR1" "week8"
"161" "EW202.M16.BM.GR11b.PCR1" "IV" "M16" "BM" "Myeloid" "GR11b" "PCR1" "week8"
"162" "EW202.M16.BM.GR11b.PCR2" "IV" "M16" "BM" "Myeloid" "GR11b" "PCR2" "week8"
"163" "EW202.M16.BM.LINneg.PCR1" "IV" "M16" "BM" "immature" "LINneg" "PCR1" "week8"
"164" "EW202.M16.BM.TER.PCR1" "IV" "M16" "BM" "Myeloid" "TER" "PCR1" "week8"
"165" "EW202.M16.S.CD19.PCR1" "IV" "M16" "S" "Bcell" "CD19" "PCR1" "week8"
"166" "EW202.M16.S.CD19.PCR2" "IV" "M16" "S" "Bcell" "CD19" "PCR2" "week8"
"167" "EW202.M16.S.CD3.PCR1" "IV" "M16" "S" "Tcell" "CD3" "PCR1" "week8"
"168" "EW202.M16.S.CD3.PCR2" "IV" "M16" "S" "Tcell" "CD3" "PCR2" "week8"
"169" "EW202.M16.S.GR11b.PCR1" "IV" "M16" "S" "Myeloid" "GR11b" "PCR1" "week8"
"170" "EW202.M16.S.GR11b.PCR2" "IV" "M16" "S" "Myeloid" "GR11b" "PCR2" "week8"
"171" "EW202.M16.S.TER.PCR1" "IV" "M16" "S" "Myeloid" "TER" "PCR1" "week8"
"172" "EW202.M16.S.TER.PCR2" "IV" "M16" "S" "Myeloid" "TER" "PCR2" "week8"
"173" "EW202.M16.T.DN.PCR1" "IV" "M16" "T" "Tcell" "DN" "PCR1" "week8"
"174" "EW202.M16.T.DN.PCR2" "IV" "M16" "T" "Tcell" "DN" "PCR2" "week8"
"175" "EW202.M16.T.DPCD3neg.PCR2" "IV" "M16" "T" "Tcell" "CD3negDP" "PCR2" "week8"
"176" "EW202.M16.T.DPCD3pos.PCR1" "IV" "M16" "T" "Tcell" "CD3posDP" "PCR1" "week8"
"177" "EW202.M16.T.DPCD3pos.PCR2" "IV" "M16" "T" "Tcell" "CD3posDP" "PCR2" "week8"
"178" "EW202.M16.T.SP.PCR1" "IV" "M16" "T" "Tcell" "SP" "PCR1" "week8"
"179" "EW202.M16.T.SP.PCR2" "IV" "M16" "T" "Tcell" "SP" "PCR2" "week8"
"180" "EW202.M7.BM.CD19.PCR1" "IF" "M7" "BM" "Bcell" "CD19" "PCR1" "week8"
"181" "EW202.M7.BM.CD19.PCR2" "IF" "M7" "BM" "Bcell" "CD19" "PCR2" "week8"
"182" "EW202.M7.BM.GR11b.PCR1" "IF" "M7" "BM" "Myeloid" "GR11b" "PCR1" "week8"
"183" "EW202.M7.BM.GR11b.PCR2" "IF" "M7" "BM" "Myeloid" "GR11b" "PCR2" "week8"
"184" "EW202.M7.BM.LINneg.PCR1" "IF" "M7" "BM" "immature" "LINneg" "PCR1" "week8"
"185" "EW202.M7.BM.LINneg.PCR2" "IF" "M7" "BM" "immature" "LINneg" "PCR2" "week8"
"186" "EW202.M7.BM.TER.PCR1" "IF" "M7" "BM" "Myeloid" "TER" "PCR1" "week8"
"187" "EW202.M7.BM.TER.PCR2" "IF" "M7" "BM" "Myeloid" "TER" "PCR2" "week8"
"188" "EW202.M7.S.CD19.PCR1" "IF" "M7" "S" "Bcell" "CD19" "PCR1" "week8"
"189" "EW202.M7.S.CD19.PCR2" "IF" "M7" "S" "Bcell" "CD19" "PCR2" "week8"
"190" "EW202.M7.S.CD3.PCR1" "IF" "M7" "S" "Tcell" "CD3" "PCR1" "week8"
"191" "EW202.M7.S.CD3.PCR2" "IF" "M7" "S" "Tcell" "CD3" "PCR2" "week8"
"192" "EW202.M7.S.GR11b.PCR1" "IF" "M7" "S" "Myeloid" "GR11b" "PCR1" "week8"
"193" "EW202.M7.S.GR11b.PCR2" "IF" "M7" "S" "Myeloid" "GR11b" "PCR2" "week8"
"194" "EW202.M7.S.TER.PCR1" "IF" "M7" "S" "Myeloid" "TER" "PCR1" "week8"
"195" "EW202.M7.T.DN.PCR1" "IF" "M7" "T" "Tcell" "DN" "PCR1" "week8"
"196" "EW202.M7.T.DN.PCR2" "IF" "M7" "T" "Tcell" "DN" "PCR2" "week8"
"197" "EW202.M7.T.DPCD3neg.PCR1" "IF" "M7" "T" "Tcell" "CD3negDP" "PCR1" "week8"
"198" "EW202.M7.T.DPCD3neg.PCR2" "IF" "M7" "T" "Tcell" "CD3negDP" "PCR2" "week8"
"199" "EW202.M7.T.DPCD3pos.PCR1" "IF" "M7" "T" "Tcell" "CD3posDP" "PCR1" "week8"
"200" "EW202.M7.T.SP.PCR1" "IF" "M7" "T" "Tcell" "SP" "PCR1" "week8"
"201" "EW202.M7.T.SP.PCR2" "IF" "M7" "T" "Tcell" "SP" "PCR2" "week8"
"202" "EW202.M8.BM.CD19.PCR1" "IF" "M8" "BM" "Bcell" "CD19" "PCR1" "week8"
"203" "EW202.M8.BM.CD19.PCR2" "IF" "M8" "BM" "Bcell" "CD19" "PCR2" "week8"
"204" "EW202.M8.BM.GR11b.PCR1" "IF" "M8" "BM" "Myeloid" "GR11b" "PCR1" "week8"
"205" "EW202.M8.BM.GR11b.PCR2" "IF" "M8" "BM" "Myeloid" "GR11b" "PCR2" "week8"
"206" "EW202.M8.BM.LINneg.PCR1" "IF" "M8" "BM" "immature" "LINneg" "PCR1" "week8"
"207" "EW202.M8.BM.TER.PCR1" "IF" "M8" "BM" "Myeloid" "TER" "PCR1" "week8"
"208" "EW202.M8.BM.TER.PCR2" "IF" "M8" "BM" "Myeloid" "TER" "PCR2" "week8"
"209" "EW202.M8.S.CD19.PCR1" "IF" "M8" "S" "Bcell" "CD19" "PCR1" "week8"
"210" "EW202.M8.S.CD19.PCR2" "IF" "M8" "S" "Bcell" "CD19" "PCR2" "week8"
"211" "EW202.M8.S.CD3.PCR1" "IF" "M8" "S" "Tcell" "CD3" "PCR1" "week8"
"212" "EW202.M8.S.CD3.PCR2" "IF" "M8" "S" "Tcell" "CD3" "PCR2" "week8"
"213" "EW202.M8.S.GR11b.PCR1" "IF" "M8" "S" "Myeloid" "GR11b" "PCR1" "week8"
"214" "EW202.M8.S.GR11b.PCR2" "IF" "M8" "S" "Myeloid" "GR11b" "PCR2" "week8"
"215" "EW202.M8.S.TER.PCR1" "IF" "M8" "S" "Myeloid" "TER" "PCR1" "week8"
"216" "EW202.M8.T.DN.PCR1" "IF" "M8" "T" "Tcell" "DN" "PCR1" "week8"
"217" "EW202.M8.T.DN.PCR2" "IF" "M8" "T" "Tcell" "DN" "PCR2" "week8"
"218" "EW202.M8.T.DPCD3neg.PCR1" "IF" "M8" "T" "Tcell" "CD3negDP" "PCR1" "week8"
"219" "EW202.M8.T.DPCD3neg.PCR2" "IF" "M8" "T" "Tcell" "CD3negDP" "PCR2" "week8"
"220" "EW202.M8.T.DPCD3pos.PCR1" "IF" "M8" "T" "Tcell" "CD3posDP" "PCR1" "week8"
"221" "EW202.M8.T.SP.PCR1" "IF" "M8" "T" "Tcell" "SP" "PCR1" "week8"
"222" "EW202.M8.T.SP.PCR2" "IF" "M8" "T" "Tcell" "SP" "PCR2" "week8"
